position,team,gp,w,d,l,gf,ga,gd,pts
1,Paris Saint-Germain,25,18,3,4,54,22,32,57
2,Lens,25,18,2,5,48,21,27,56
3,Marseille,25,14,4,7,52,33,19,46
4,Lyon,25,14,4,7,40,27,13,46
5,Stade Rennais,25,12,7,6,42,35,7,43
6,Lille,25,12,5,8,38,32,6,41
7,AS Monaco,25,12,4,9,43,37,6,40
8,Strasbourg,25,10,6,9,40,31,9,36
9,Brest,25,10,6,9,34,34,0,36
10,Lorient,25,8,10,7,35,39,-4,34
11,Angers,25,9,5,11,23,30,-7,32
12,Toulouse,25,8,7,10,33,29,4,31
13,Paris FC,25,6,9,10,29,41,-12,27
14,Le Havre AC,25,6,8,11,20,32,-12,26
15,Nice,25,6,6,13,30,48,-18,24
16,AJ Auxerre,25,4,7,14,19,35,-16,19
17,Nantes,25,4,5,16,22,42,-20,17
18,Metz,25,3,4,18,22,56,-34,13
